honour_type,season_year,league_code,team_name,api_player_id,player_name,goals,honour_context,source
golden_boot,2020,ERE,,26902,Giorgos Giakoumakis,26,club not listed in source,wikipedia_ccc
golden_boot,2021,ERE,,1826,Sebastien Haller,21,club not listed in source,wikipedia_ccc
golden_boot,2022,ERE,,26845,Anastasios Douvikas,19,tie; club not listed in source,wikipedia_ccc
golden_boot,2022,ERE,,162016,Xavi Simons,19,tie; club not listed in source,wikipedia_ccc
golden_boot,2023,ERE,,36798,Vangelis Pavlidis,29,tie; club not listed in source,wikipedia_ccc
golden_boot,2023,ERE,,246,Luuk de Jong,29,tie; club not listed in source,wikipedia_ccc
golden_boot,2024,ERE,,37784,Sem Steijn,24,club not listed in source,wikipedia_ccc
golden_boot,2025,ERE,,72155,Ayase Ueda,25,club not listed in source,wikipedia_ccc
golden_boot,2010,BPL,Club Brugge KV,207,Ivan Perisic,22,,wikipedia_ccc
golden_boot,2011,BPL,Mons,8572,Jeremy Perbet,25,,wikipedia_ccc
golden_boot,2012,BPL,Club Brugge KV,1706,Carlos Bacca,25,,wikipedia_ccc
golden_boot,2013,BPL,Lokeren,8628,Hamdi Harbaoui,22,,wikipedia_ccc
golden_boot,2014,BPL,Anderlecht,2825,Aleksandar Mitrovic,20,,wikipedia_ccc
golden_boot,2015,BPL,Charleroi,8572,Jeremy Perbet,22,,wikipedia_ccc
golden_boot,2016,BPL,Anderlecht,30817,Lukasz Teodorczyk,22,,wikipedia_ccc
golden_boot,2017,BPL,Anderlecht & Zulte Waregem,8628,Hamdi Harbaoui,22,split season between two clubs,wikipedia_ccc
golden_boot,2018,BPL,Zulte Waregem,8628,Hamdi Harbaoui,25,,wikipedia_ccc
golden_boot,2019,BPL,Antwerp,8465,Dieumerci Mbokani,18,season stopped early - COVID,wikipedia_ccc
golden_boot,2020,BPL,Genk,15812,Paul Onuachu,33,,wikipedia_ccc
golden_boot,2021,BPL,Union SG,26475,Deniz Undav,26,,wikipedia_ccc
golden_boot,2022,BPL,Gent,27104,Hugo Cuypers,24,,wikipedia_ccc
golden_boot,2023,BPL,Cercle Brugge,21036,Kevin Denkey,27,,wikipedia_ccc
golden_boot,2024,BPL,Sint-Truiden,129126,Adriano Bertaccini,21,tie,wikipedia_ccc
golden_boot,2024,BPL,Genk,110153,Tolu Arokodare,21,tie,wikipedia_ccc
golden_boot,2025,BPL,Club Brugge KV,287923,Nicolo Tresoldi,19,,wikipedia_ccc
