card_id,rt
132771,75
132772,54
132773,null
132774,61
132775,69
132776,59
132777,null
132778,30
132779,null
132780,null
132781,68
132782,61
132783,74
132784,64
132785,84
132786,72
132787,90
132788,65
132789,87
132790,34
132791,71
132792,67
132793,75
132794,49
132795,42
132796,61
132797,52
132798,60
132799,56
132800,67
132801,78
132802,39
132803,69
132804,65
132805,84
132806,62
132807,65
132808,70
132809,65
132810,66
132811,63
132812,33
132813,56
132814,48
132815,75
132816,56
132817,63
132818,64
132819,75
132820,72
132821,63
132822,65
132823,72
132824,62
132825,61
132826,77
132827,64
132828,46
132829,62
132830,53
132831,80
132832,69
132833,57
132834,79
132835,59
132836,75
132837,69
132838,67
132839,76
132840,65
132841,75
132842,30
132843,55
132844,56
132845,58
132846,55
132847,75
132848,39
132849,41
132850,61
132851,71
132852,59
132853,71
132854,65
132855,72
132856,32
132857,46
132858,67
132859,64
132860,64
132861,60
132862,44
132863,73
132864,35
132865,60
132866,88
132867,68
132868,71
132869,80
132870,40
132871,81
132872,47
132873,68
132874,67
132875,67
132876,65
132877,56
132878,59
132879,67
132880,52
132881,61
132882,64
132883,65
132884,68
132885,71
132886,69
132887,71
132888,75
132889,64
132890,56
132891,56
132892,63
132893,66
132894,57
132895,53
132896,75
132897,46
132898,57
132899,38
132900,63
132901,56
132902,44
132903,51
132904,51
132905,61
132906,49
132907,82
132908,31
132909,57
132910,55
132911,80
132912,54
132913,69
132914,68
132915,62
132916,47
132917,55
132918,59
132919,30
132920,21
132921,61
132922,88
132923,66
132924,63
132925,48
132926,75
132927,61
132928,59
132929,66
132930,62
132931,53
132932,59
132933,52
132934,75
132935,78
132936,58
132937,53
132938,68
132939,60
132940,58
132941,65
132942,52
132943,65
132944,54
132945,71
132946,50
132947,58
132948,39
132949,61
132950,62
132951,59
132952,62
132953,55
132954,63
132955,73
132956,64
132957,59
132958,60
132959,59
132960,59
132961,33
132962,54
132963,63
132964,72
132965,68
132966,37
132967,56
132968,74
132969,71
132970,42
132971,59
132972,59
132973,66
132974,60
132975,60
132976,89
132977,58
132978,68
132979,49
132980,55
132981,59
132982,64
132983,64
132984,37
132985,60
132986,29
132987,60
132988,86
132989,52
132990,53
132991,60
132992,60
132993,60
132994,63
132995,57
132996,61
132997,55
132998,59
132999,71
133000,59
133001,58
133002,30
133003,62
133004,25
133005,41
133006,51
133007,64
133008,72
133009,68
133010,49
133011,54
133012,75
133013,62
133014,32
133015,56
133016,64
133017,71
133018,68
133019,65
133020,62
133021,56
133022,69
133023,75
133024,64
133025,47
133026,64
133027,62
133028,65
133029,64
133030,88
133031,68
133032,42
133033,64
133034,33
133035,78
133036,65
133037,76
133038,64
133039,60
133040,55
133041,49
133042,60
133043,63
133044,58
133045,41
