card_id,api_player_id,player_name,season,club,current_pool,verified_position,confidence,evidence,source,fetched_at
131296,19366,O. Watkins,2324,Aston Villa,ST,ST,high,"Centre-Forward 48  (base 48, ST 100%)",transfermarkt,2026-08-10T20:15:31.759Z
131555,306,Mohamed Salah,2223,Liverpool,Winger,Winger,high,"Right Winger 46, Centre-Forward 4, Second Striker 1  (base 51, Winger 90%)",transfermarkt,2026-08-10T20:15:51.305Z
133197,306,Mohamed Salah,1819,Liverpool,ST,Winger,high,"Right Winger 35, Centre-Forward 15, Second Striker 2  (base 52, Winger 67%)",transfermarkt,2026-08-10T20:16:04.956Z
134055,907,R. Lukaku,1617,Everton,ST,ST,high,"Centre-Forward 39  (base 39, ST 100%)",transfermarkt,2026-08-10T20:16:14.596Z
134725,18788,J. Vardy,1516,Leicester,ST,ST,high,"Centre-Forward 37, Second Striker 1  (base 38, ST 97%)",transfermarkt,2026-08-10T20:16:25.784Z
138776,759,K. Benzema,2122,Real Madrid,Winger,ST,high,"Centre-Forward 46  (base 46, ST 100%)",transfermarkt,2026-08-10T20:16:31.816Z
140670,874,Cristiano Ronaldo,1718,Real Madrid,ST,ST,high,"Centre-Forward 32, Left Winger 12  (base 44, ST 73%)",transfermarkt,2026-08-10T20:16:43.619Z
141103,874,Cristiano Ronaldo,1617,Real Madrid,Winger,Winger,high,"Left Winger 34, Centre-Forward 11, Second Striker 1  (base 46, Winger 74%)",transfermarkt,2026-08-10T20:16:56.315Z
144667,6420,M. Retegui,2425,Atalanta,ST,ST,high,"Centre-Forward 49  (base 49, ST 100%)",transfermarkt,2026-08-10T20:17:04.443Z
147099,2495,D. Zapata,1819,Atalanta,ST,ST,high,"Centre-Forward 46  (base 46, ST 100%)",transfermarkt,2026-08-10T20:17:12.217Z
147398,874,Cristiano Ronaldo,1819,Juventus,ST,Winger,high,"Left Winger 27, Centre-Forward 12, Second Striker 4  (base 43, Winger 63%)",transfermarkt,2026-08-10T20:17:21.660Z
147926,30509,A. Belotti,1617,Torino,Winger,ST,high,"Centre-Forward 37  (base 37, ST 100%)",transfermarkt,2026-08-10T20:17:28.852Z
154586,1465,P. Aubameyang,1617,Borussia Dortmund,ST,ST,high,"Centre-Forward 45, Left Winger 1  (base 46, ST 98%)",transfermarkt,2026-08-10T20:18:14.477Z
160760,274,E. Cavani,1617,Paris Saint Germain,Winger,ST,high,"Centre-Forward 49  (base 49, ST 100%)",transfermarkt,2026-08-10T20:18:33.716Z
164020,18979,V. Gyökeres,2425,Sporting CP,ST,ST,high,"Centre-Forward 52  (base 52, ST 100%)",transfermarkt,2026-08-10T20:18:39.860Z
130780,1100,E. Haaland,2425,Manchester City,ST,ST,high,"Centre-Forward 47  (base 47, ST 100%)",transfermarkt,2026-08-10T20:18:46.519Z
