club_rank,player_name,season,club,league,current_pool,coarse_position,rt,goals,assists,minutes,dribbles_per90,status,api_player_id,card_id
9,R. Barkley,1819,Chelsea,PL,CM,MID,71,3,5,1241,1.09,unchecked,2287,133242
9,M. Caicedo,2324,Chelsea,PL,CDM,MID,70,1,3,2874,0.81,unchecked,116117,131218
9,M. Kovačić,2122,Chelsea,PL,CDM,MID,70,2,5,1555,2.2,unchecked,2291,131986
10,P. Pogba,1516,Juventus,SA,CM,MID,85,8,12,3018,3.04,unchecked,904,148715
10,M. Pjanić,1617,Juventus,SA,CDM,MID,81,5,9,2173,0.66,unchecked,872,148314
10,A. Rabiot,2223,Juventus,SA,CDM,MID,79,8,4,2751,0.88,unchecked,272,145272
10,S. Khedira,1718,Juventus,SA,CM,MID,78,9,2,1922,0.37,unchecked,868,147765
10,M. Pjanić,1718,Juventus,SA,CM,MID,78,5,8,2488,1.01,unchecked,872,147857
10,J. Cuadrado,1718,Juventus,SA,CM,MID,73,4,6,1358,1.99,unchecked,866,147790
10,K. Thuram,2425,Juventus,SA,CDM,MID,72,4,5,2337,1.5,unchecked,116,144459
10,M. Pjanić,1920,Juventus,SA,CDM,MID,72,3,6,2286,0.59,unchecked,872,147003
10,S. Khedira,1617,Juventus,SA,CM,MID,71,5,4,2548,0.53,unchecked,868,148206
10,M. Pjanić,1819,Juventus,SA,CM,MID,70,2,6,2288,0.43,unchecked,872,147426
11,H. Çalhanoğlu,1920,AC Milan,SA,CAM,MID,84,9,9,2718,0.93,held,1640,146886
11,T. Reijnders,2425,AC Milan,SA,CDM,MID,83,10,4,3132,1.03,unchecked,36902,144767
11,F. Kessié,2021,AC Milan,SA,CM,MID,83,13,4,3230,1.2,unchecked,1642,146412
11,A. Rebić,2021,AC Milan,SA,CAM,FWD,79,11,4,1783,1.01,held,1831,146590
11,Brahim Díaz,2223,AC Milan,SA,CM,MID,77,6,7,1947,1.8,unchecked,744,145665
11,G. Bonaventura,1718,AC Milan,SA,CM,MID,77,8,3,2552,1.2,unchecked,1638,147727
11,H. Çalhanoğlu,2021,AC Milan,SA,CM,MID,75,4,9,2627,1.23,unchecked,1640,146443
11,F. Kessié,1819,AC Milan,SA,CM,MID,75,7,2,3021,1.34,unchecked,1642,147296
12,H. Çalhanoğlu,2324,Inter,SA,CDM,MID,85,13,3,2576,0.24,unchecked,1640,145154
12,H. Çalhanoğlu,2122,Inter,SA,CDM,MID,85,7,12,2509,0.47,unchecked,1640,146002
12,H. Çalhanoğlu,2526,Inter,SA,CDM,MID,81,9,4,1650,0.27,unchecked,1640,144334
12,É. Banega,1617,Inter,SA,CDM,MID,80,6,6,1558,2.37,unchecked,2050,148123
12,R. Nainggolan,1819,Inter,SA,CDM,MID,79,6,3,1971,1.23,unchecked,205,147242
12,M. Brozović,1718,Inter,SA,CM,MID,77,4,9,1923,1.22,unchecked,201,147724
12,H. Çalhanoğlu,2425,Inter,SA,CM,MID,75,5,6,1961,0.14,unchecked,1640,144750
12,N. Barella,2223,Inter,SA,CM,MID,75,6,6,2622,1.37,unchecked,30558,145370
12,P. Zieliński,2526,Inter,SA,CM,MID,72,6,3,2055,0.79,unchecked,329,144133
12,N. Barella,2526,Inter,SA,CM,MID,72,3,8,2533,0.89,unchecked,30558,144140
12,N. Barella,2425,Inter,SA,CM,MID,70,3,6,2425,0.85,unchecked,30558,144546
12,D. Frattesi,2324,Inter,SA,CM,MID,70,6,3,934,0.67,unchecked,31173,144944
13,M. Reus,1819,Borussia Dortmund,BL,CAM,MID,88,17,8,2322,0.97,unchecked,25,153747
13,S. Kagawa,1516,Borussia Dortmund,BL,CAM,MID,82,9,7,2168,0.83,unchecked,1991,154989
13,J. Brandt,2324,Borussia Dortmund,BL,CAM,MID,80,7,11,2230,1.09,unchecked,984,151651
13,J. Brandt,2223,Borussia Dortmund,BL,CAM,MID,80,9,8,2410,1.53,held,984,152033
13,J. Brandt,2122,Borussia Dortmund,BL,CAM,MID,80,9,8,2082,1.64,held,984,152401
13,M. Reus,1920,Borussia Dortmund,BL,CAM,MID,79,11,5,1502,1.56,held,25,153382
13,M. Götze,1819,Borussia Dortmund,BL,CAM,MID,79,7,7,1680,1.39,held,16,153546
13,J. Brandt,2425,Borussia Dortmund,BL,CAM,MID,77,5,10,2318,0.7,held,984,151298
13,M. Reus,2324,Borussia Dortmund,BL,CM,MID,74,6,6,1610,0.45,unchecked,25,151911
13,J. Bellingham,2223,Borussia Dortmund,BL,CM,MID,74,8,4,2693,2.87,unchecked,129718,152030
