player_name,season,club,current_pool,goals,assists,minutes,dribbles_success,passes_key
F. Selemani,2122,Kortrijk,CAM,13,5,2516,38,56
G. Raspadori,2122,Sassuolo,CAM,10,5,2754,35,43
G. Til,2122,Feyenoord,CAM,15,3,2590,31,37
G. Til,1819,AZ Alkmaar,CAM,12,4,2970,16,41
Gelson Martins,1718,Sporting CP,CAM,8,8,2687,81,48
H. Vanaken,2021,Club Brugge KV,CAM,11,7,2990,21,58
İ. Kahveci,2324,Fenerbahçe,CAM,12,7,2028,37,53
J. Brandt,2425,Borussia Dortmund,CAM,5,10,2318,18,62
J. Brandt,1718,Bayer Leverkusen,CAM,9,3,2335,43,61
J. Lingard,2021,West Ham,CAM,9,NR,1426,NR,NR
J. Toornstra,1718,Feyenoord,CAM,8,10,2296,15,55
L. Bailey,1718,Bayer Leverkusen,CAM,9,6,2221,57,61
Lucas Moura,1617,Paris Saint Germain,CAM,12,5,2434,72,56
M. Greenwood,1920,Manchester United,CAM,10,1,1310,21,14
N. Pépé,2021,Arsenal,CAM,10,1,1612,27,11
S. Gürler,1718,Ankaraspor,CAM,12,5,2431,38,53
T. Müller,1617,Bayern München,CAM,5,12,2264,16,60
Z. Flemming,2021,Fortuna Sittard,CAM,12,7,2952,33,28
A. Doucouré,1718,Watford,CAM,7,3,3325,41,40
Ayoze Pérez,1920,Leicester,CAM,8,4,2019,36,29
Bryan Jafet Ruiz González,1516,Sporting CP,CAM,8,12,2692,53,62
D. Hotić,2122,Cercle Brugge,CAM,7,10,2363,18,70
D. Verde,2122,Spezia,CAM,8,6,1958,15,39
J. Bowen,2021,West Ham,CAM,8,5,2578,36,29
L. Majer,2122,Rennes,CAM,6,8,1840,29,45
M. Barrow,2021,Bologna,CAM,8,8,2933,34,60
M. Tillman,2324,PSV Eindhoven,CAM,9,10,1589,38,50
M. Wolf,1718,Eintracht Frankfurt,CAM,5,8,2368,42,35
P. Sisto,1718,Celta Vigo,CAM,5,9,2534,75,41
S. van de Streek,1718,Utrecht,CAM,10,6,2770,17,41
T. Müller,1819,Bayern München,CAM,6,9,2391,23,62
Á. Correa,1718,Atletico Madrid,CAM,8,4,2264,69,29
A. Ndao,2021,Fatih Karagümrük,CAM,11,9,3097,34,45
D. Szoboszlai,2223,RB Leipzig,CAM,6,8,2451,53,72
Eljero George Rinaldo Elia,1617,Feyenoord,CAM,9,8,1705,57,35
F. Honorat,2021,Stade Brestois 29,CAM,8,5,2469,25,64
G. Pereiro,1718,PSV Eindhoven,CAM,11,4,1730,34,57
Gabriel Martinelli,2122,Arsenal,CAM,6,6,1863,45,34
Gelson Martins,1617,Sporting CP,CAM,6,9,2771,73,45
J. Fernándes,1718,Alanyaspor,CAM,10,6,1969,64,34
L. Sinisterra,2122,Feyenoord,CAM,12,7,2417,107,60
X. Shaqiri,1819,Liverpool,CAM,6,3,1058,6,21
A. Bakasetas,1920,Alanyaspor,CAM,10,4,2685,35,81
A. El Kaabi,2122,Hatayspor,CAM,15,1,2363,12,21
D. Kamada,1819,St. Truiden,CAM,12,NR,1899,NR,NR
D. Machís,1920,Granada CF,CAM,7,5,2126,54,40
Fábio Martins,1920,Famalicao,CAM,12,5,2566,30,48
Fábio Vieira,2122,FC Porto,CAM,6,14,1328,19,33
J. Maddison,1920,Leicester,CAM,6,3,2628,51,79
J. Willock,2021,Newcastle,CAM,8,NR,980,4,2
L. Díaz,2122,FC Porto,CAM,14,4,1507,46,40
M. Pašalić,1819,Atalanta,CAM,5,3,1615,16,23
M. Reus,1617,Borussia Dortmund,CAM,7,4,1190,23,25
Nico Williams,2324,Athletic Club,CAM,5,11,2281,84,47
Pablo Fornals,2122,West Ham,CAM,6,3,2804,23,48
Ricardo Horta,1920,SC Braga,CAM,12,5,2619,23,51
Rodri,2122,Manchester City,CAM,7,2,2887,12,29
S. Katompa Mvumpa,2021,VfB Stuttgart,CAM,11,4,1930,48,23
S. Milinković-Savić,1617,Lazio,CAM,4,7,2733,44,41
T. Müller,2223,Bayern München,CAM,7,8,1679,9,40
Á. Correa,1617,Atletico Madrid,CAM,4,8,1213,49,24
André Franco,2122,Estoril,CAM,11,4,2623,37,42
B. Bourigeaud,1819,Rennes,CAM,6,5,2434,10,33
B. Embolo,1920,Borussia Mönchengladbach,CAM,8,5,1551,41,21
C. Tolisso,1718,Bayern München,CAM,6,4,1527,5,22
D. Ndoye,2425,Bologna,CAM,8,4,2151,37,27
G. Pereiro,1617,PSV Eindhoven,CAM,10,2,2166,41,35
H. Traorè,2122,Sassuolo,CAM,7,2,1779,61,36
I. Sarr,1819,Rennes,CAM,8,6,2795,62,39
J. Fernándes,1920,Alanyaspor,CAM,9,7,1871,27,47
M. Cafaro,1819,Reims,CAM,7,3,2101,25,37
M. Richter,1819,FC Augsburg,CAM,4,6,1431,35,16
M. Sanson,1718,Marseille,CAM,9,2,2173,46,37
M. Thiam,1920,Kasımpaşa,CAM,11,4,1863,27,20
Mikel Oyarzabal,2122,Real Sociedad,CAM,9,3,1673,22,39
O. Kökçü,2122,Feyenoord,CAM,7,9,2632,40,102
